Category: People & Society
TOP
baby,100
games,35
chinese,26
social security,26
google,23
news,22
john,22
youtube,20
horoscope,19
cool math games,18
prime,18
hot,16
amazon,15
yeshiva world,15
calculator,12
pandora,12
harry potter,11
clever,10
tarot,10
car seat,10
poughkeepsie,10
weather,10
instagram,9
palworld,9
credit karma,8

RISING
palworld,Breakout
climate change progress,"+2,400%"
quiet place day one,"+2,300%"
paralympics 2024,"+2,000%"
alien romulus,"+1,950%"
a quiet place day one,"+1,700%"
kamala harris,"+1,350%"
diwali 2024,"+1,350%"
din tai fung nyc,"+1,100%"
megalopolis,"+1,100%"
mercury retrograde 2024,"+1,050%"
google gemini,"+1,000%"
prime day 2024,+850%
chappell roan,+800%
kingdom of the planet of the apes,+800%
kamala harris parents,+550%
mary and george,+500%
may december,+500%
trolls band together,+350%
the deliverance,+350%
jose iglesias,+300%
sukuna,+300%
descendants 4,+300%
dune,+300%
trolls 3,+300%

